L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,Cluster,Player
0.5846203,0.61562216,0.4277946,-0.3910329,-0.6720218,-0.019965865,0.836812,0.4711551,-0.5298574,0.48443463,-0.57008207,-0.011286043,-0.062587366,0.7808786,-0.16873968,0.113852784,1,Hugo Álvarez
0.22164918,0.371489,0.62087524,-0.45411187,-0.3166596,0.07981149,0.118304476,0.14095846,-0.029667996,0.38717782,-0.40731284,-0.030363679,-0.21628542,0.31432545,-0.21196195,-0.04997075,1,Julián Álvarez
0.70022756,0.041452818,0.26979962,-0.3126072,-0.07960556,-0.4598188,0.8481551,0.66215223,-0.8101605,0.5483273,-0.86518747,-0.4453459,0.5240281,0.4316041,-0.32591948,0.7326814,0,Yeray Álvarez
0.33579856,0.030597206,0.09722492,-0.25857726,-0.19638617,-0.16083704,0.22953498,0.3831666,-0.25419283,0.39405525,-0.38172862,-0.2012457,-0.037273817,0.27782774,-0.20660582,0.099812716,1,Skelly Alvero
0.11225271,-0.38702047,0.322781,-0.34026432,0.39312372,-0.1685744,0.32407477,0.31376368,-0.18237725,0.08717242,-0.33933803,-0.3627519,0.20399322,-0.1806193,-0.18955171,0.4536229,1,Will Alves
0.11795521,0.111277446,0.86500925,-0.59283817,0.41618326,0.01086656,0.33306053,0.1669757,-0.03153474,0.008834213,-0.37658158,-0.135958,0.036785208,-0.089038186,-0.3462001,0.40778643,1,Selim Amallah
0.27497762,0.226774,0.3584571,-0.29717606,-0.19929235,-0.0012705997,0.1842248,0.24939868,-0.06447707,0.26068744,-0.21486254,-0.060696222,-0.0937664,0.32150897,-0.14627372,-0.0045400076,1,Harry Amass
0.22427891,-0.33633348,0.27043316,-0.31829962,0.38446823,-0.18315637,0.12936254,0.25848046,-0.18773243,0.041598305,-0.18460277,-0.39577448,0.08730435,0.058765814,-0.321675,0.2852632,1,Amath
0.3073365,0.39423174,0.6013702,-0.3779787,0.10792714,-0.0038224459,0.46766523,0.2515335,-0.12667163,0.04053165,-0.18970662,0.06801465,-0.033144943,0.22194046,-0.22711721,0.099188656,1,Jordan Amavi
-0.0016616732,0.3961408,0.9882918,-0.6672861,0.021525146,0.16934723,0.2717814,0.015816227,0.090757445,0.09478003,-0.3930157,0.08436905,-0.19449112,-0.003447175,-0.19981267,0.12524462,1,Aurele Amenda
0.1850148,0.43480358,0.4608096,-0.43737084,-0.6027597,0.1572532,0.5681175,0.28104174,-0.26026854,0.3907686,-0.4478034,-0.00022742152,-0.22407368,0.47287023,0.008481041,-0.03598251,1,Kelvin Amian
0.30906057,0.03789705,0.43763876,-0.29834366,0.114894435,-0.19327635,0.19334064,0.21830164,-0.06467378,0.16944592,-0.19909653,-0.18828203,0.051317357,0.17928493,-0.26682782,0.23556684,1,Michael Amir Murillo
0.25418097,0.9408194,0.58932567,-0.3340657,-0.13882774,0.40211144,0.7913153,0.5784159,-0.5211191,0.15529828,-0.46701473,0.30352387,0.017172167,0.44759807,-0.03996995,-0.11899911,1,Nadiem Amiri
0.031893387,0.6617793,1.1352875,-0.92705005,-0.5161818,0.22057393,1.0180849,0.10459863,-0.24253571,0.2757988,-0.771707,0.25381732,-0.28421322,0.08717881,0.078060195,0.02905135,1,Samuel Amo-Ameyaw
0.10234817,0.13350606,0.5343443,-0.47631222,-0.16613203,-0.020914666,0.62059575,0.24026924,-0.14982194,0.19941987,-0.35378814,-0.05088918,-0.042659443,0.08782743,-0.045882106,0.1748089,1,Samuel Amo-Ameyaw
0.18362525,0.19321616,0.71695983,-0.46969366,0.08509485,-0.13188335,0.554758,0.20380563,-0.07682514,0.15863596,-0.29849252,-0.056946293,0.058575436,0.075746015,-0.18339029,0.32802776,1,Mathis Amougou
0.094132945,0.36900935,0.61474264,-0.46012783,-0.1692485,0.20069414,0.18514964,0.1619137,-0.029810324,0.1834623,-0.2856105,0.07967538,-0.19769615,0.21168837,-0.10602582,-0.13191067,1,Mathis Amougou
0.19541608,0.5591009,0.8172072,-0.4635703,-0.15647918,0.25918752,0.15300617,0.14592582,-0.0463361,0.20816812,-0.33585954,0.1673606,-0.1926686,0.28481877,-0.23983744,-0.22315578,1,Mohamed Amoura
