Player,Cluster,tSNE_1,tSNE_2
Ayyoub Bouaddi,1,12.896237,-21.668434
Badredine Bouanani,1,7.2477517,33.066425
Benjamin Bouchouari,1,-51.209015,3.1813924
Hicham Boudaoui,1,-35.593338,21.86527
Carlo Boukhalfa,1,-26.226107,4.772953
Justin Bourgault,1,-24.939264,-9.180456
Benjamin Bourigeaud,1,24.472807,-27.447195
Edoardo Bove,1,-10.400017,-29.07792
Jarrod Bowen,1,-11.109073,-11.392235
Enzo Boyomo,1,15.914294,-13.694473
Enzo Boyomo,1,-26.101273,16.324154
Domagoj Bradarić,1,-27.316216,5.737511
Conor Bradley,1,-3.2546778,33.953186
Bilal Brahimi,1,-11.834337,-10.760165
Julian Brandt,1,-11.323529,11.099943
Jarrad Branthwaite,1,19.632357,0.49834126
Darko Brašanac,1,-23.920546,-19.232504
Lilian Brassier,1,7.284238,-2.1311955
Lilian Brassier,1,-21.626383,9.879883
Matthias Braunöder,1,-29.389746,-19.70554
Iker Bravo,1,-36.333668,20.994366
James Bree,1,-2.4826875,24.223421
Tim Breithaupt,1,-27.18356,-5.701034
Gleison Bremer,1,28.637564,0.29667932
Brenner,1,12.64894,-5.2586155
Ben Brereton,1,-36.03974,31.264671
Marco Brescianini,1,18.586945,-30.837112
Maximilian Breunig,1,-0.6155494,34.17292
Anthony Briançon,0,54.42821,10.3712435
Nathan Broadhead,0,39.0974,-6.131197
Armando Broja,1,25.698536,-35.094303
David Brooks,1,-29.697262,-5.4896746
Arvid Brorsson,1,9.978326,27.16065
Moritz Broschinski,1,1.5703651,-26.44689
Nathaniel Brown,1,30.076145,-35.947247
Jacob Bruun Larsen,1,4.932337,29.867945
Jacob Bruun Larsen,0,20.641981,35.373795
Tajon Buchanan,1,-28.971909,-19.030943
Tajon Buchanan,1,-32.073387,-16.850527
Ante Budimir,1,25.357216,-10.745032
Emi Buendía,1,-5.0724864,10.298112
Emi Buendía,1,-48.038498,-9.559667
Manu Bueno,1,-26.661148,-4.264518
Santiago Bueno,1,-32.023666,12.773166
Endika Buján,1,-16.50706,-8.622328
Marius Bülter,1,29.529833,5.265359
Facundo Buonanotte,1,-1.873655,2.6676188
Alessandro Buongiorno,1,-34.722374,-17.340443
Cameron Burgess,0,57.286354,-0.6457379
Jonathan Burkardt,1,13.305324,11.768377
Oliver Burke,1,-58.492702,0.56962454
Dan Burn,1,16.152964,-26.031448
Rareș-Cătălin Burnete,1,15.948258,19.750954
Wes Burns,0,47.533737,8.588764
Marnon Busch,1,-35.670845,-4.726519
Gianluca Busio,1,-26.532536,-5.207067
Aurélio Buta,0,48.35386,14.652974
Jean Butez,1,-19.990685,-1.6344703
Nathan Butler-Oyedeji,0,49.892418,12.073595
Marcin Bułka,0,19.458883,32.54969
Pau Cabanes,1,-24.54176,-6.798976
Pau Cabanes,1,-23.487663,-6.1414857
Rémy Cabella,1,-35.816677,14.375637
Leandro Cabrera,1,-21.091913,-27.35523
Liberato Cacace,1,28.131126,0.64202964
Alessio Cacciamani,1,-33.635113,16.386827
Anthony Caci,0,49.00104,-5.0863566
Mathieu Cafaro,1,-12.160956,-27.01279
Moisés Caicedo,1,11.383271,-37.251995
Tom Cairney,0,57.593254,10.495045
Jens Cajuste,0,56.672688,-4.296268
Davide Calabria,1,-33.41204,15.659971
Davide Calabria,1,-9.809357,-23.846592
Riccardo Calafiori,0,14.720418,31.32889
Luca Caldirola,0,44.41143,-7.098586
Fernando Calero,1,-34.266582,-15.289468
Duje Ćaleta-Car,1,15.076329,-14.840524
Hakan Çalhanoğlu,1,-48.98625,18.456017
Dominic Calvert-Lewin,1,28.837343,-28.75792
Drissa Camara,0,43.426006,10.177866
Issiaga Camara,1,27.88639,-25.473125
Lamine Camara,1,26.665154,5.929002
Mahdi Camara,1,-31.799496,-2.8417256
Ousmane Camara,1,-35.910507,29.973755
Francesco Camarda,1,-26.107729,-25.374283
Eduardo Camavinga,1,-21.50251,-17.247429
Nicolò Cambiaghi,1,33.163456,-1.3374115
Andrea Cambiaso,0,55.03924,9.711035
Axel Camblan,1,1.9937736,-10.900629
Sergio Camello,1,8.555857,0.81122035
José Campaña,1,23.59377,-35.52135
Thomas Campaniello,1,30.683468,-39.385006
Cole Campbell,1,-46.462986,-2.3410273
Emre Can,1,12.029652,19.125795
Peio Canales,0,40.562874,10.54131
Matteo Cancellieri,1,12.05697,-4.833797
Fali Candé,1,-30.906672,14.516139
Antonio Candela,1,-9.984243,-29.24505
Antonio Candela,1,-37.652393,-7.382953
Sergi Canós,0,39.946365,-6.378115
Jaydee Canvot,1,26.456985,5.5104494
Pierrick Capelle,1,-29.98978,-12.487611
Gianluca Caprari,1,-46.467316,-13.557136
Elia Caprile,1,5.7706423,-25.590752
Elia Caprile,1,-35.218422,-3.6936142
Gabin Capuano,1,-5.811046,35.48627
Francesco Caputo,0,46.798416,19.76876
Maxence Caqueret,1,17.819527,22.512596
Maxence Caqueret,1,-41.183,24.131002
Simon Cara,1,-26.283344,16.075968
Andrea Carboni,0,38.607563,13.3072
Franco Carboni,1,14.859063,-16.915003
Valentin Carboni,1,-46.177105,-5.753467
Dani Cárdenas,1,-4.1841574,29.900537
Irvin Cardona,1,6.4086924,-3.1525955
Irvin Cardona,1,9.580355,8.682177
Marc Cardona,1,-2.0327652,-0.18599008
Sergi Cardona,1,-46.123444,-3.2129593
Johnny Cardoso,1,21.846373,4.0008264
Tiago Cardoso,1,-22.289825,-14.959339
Patrik Carlgren,0,48.271416,13.964194
Diego Carlos,1,-42.71943,30.411337
José Carlos González,1,3.6341915,38.160313
Carmona,1,-46.650707,17.186989
Marco Carnesecchi,1,-24.990486,-27.585274
Sergio Carreira,1,-3.9479692,10.98021
Dani Carvajal,1,13.675045,-35.6539
Fabio Carvalho,1,24.597118,-36.723408
William Carvalho,0,53.168385,-5.097203
Cesare Casadei,1,-14.847839,13.99884
Marc Casado,1,-13.51712,-25.44224
Nicolò Casale,1,-25.378206,0.99186087
Nicolò Casale,1,-38.436466,12.468284
Casemiro,0,50.391415,9.279745
Kaelan Casey,1,-2.3949742,17.73983
Matty Cash,0,38.30629,-5.9598923
Eiran Cashin,1,-12.950483,-26.814672
Josué Casimir,1,-26.453154,5.896687
Federico Cassa,1,33.32265,-34.235386
Cristian Cásseres Jr.,1,25.632412,-24.83307
Timothy Castagne,0,50.39172,-6.955234
Valentín Castellanos,1,-30.04989,-14.1850605
Jean-Charles Castelletto,0,38.947018,5.610817
Santiago Castro,0,16.551043,23.423958
Gaetano Castrovilli,0,11.410334,35.23162
Gaetano Castrovilli,1,18.074188,-19.407133
Danilo Cataldi,1,-3.1227784,27.764532
Catena,1,7.542264,12.141705
Maximiliano Caufriez,1,15.333576,-8.874409
Enzo Caumont,1,5.9845624,-26.448696
Dani Ceballos,0,56.87697,8.790842
Abdoulie Ceesay,1,-1.9377878,5.513497
Zeki Çelik,1,-21.289602,-6.747759
Fabien Centonze,1,26.643583,-35.429897
Alberto Cerri,1,-8.496575,27.197214
Franco Cervi,0,41.515236,12.751183
Julian Chabot,1,1.4418561,9.338824
El Chadaille Bitshiabu,1,9.967227,-19.885418
Fares Chaïbi,1,-37.950314,-4.4997644
Trevoh Chalobah,1,-38.733913,18.58297
Trevoh Chalobah,1,16.833439,-7.658515
Timothy Chandler,0,51.30455,-1.2743864
Conor Chaplin,0,57.4943,-4.293381
Brendan Chardonnet,1,1.1204484,8.972729
Gabriel Charpentier,1,15.8904085,-25.538284
Raúl Chasco,1,-21.392431,-25.417913
Anrie Chase,1,6.7150774,-6.112845
Pep Chavarría,1,-36.7539,-10.169957
Arthur Chaves,1,-10.806412,-5.751247
Jhoanner Chávez,0,36.554485,-2.548111
Walid Cheddira,1,30.778084,-34.36296
Walid Cheddira,1,-10.998059,25.600233
Chema,1,-61.226414,-4.195286
Théo Chennahi,1,4.9912424,30.200838
Sidiki Cherif,0,52.903297,-4.988034
Rayan Cherki,1,12.480961,-7.697082
Youssef Chermiti,0,51.922657,10.23652
Lucas Chevalier,0,40.483948,7.964859
Fabio Chiarodia,1,28.943966,-39.350697
Julián Chicco,1,11.943317,9.478376
Leandro Chichizola,1,-48.90822,22.659464
Federico Chiesa,1,9.7964325,-7.943397
Ben Chilwell,1,-24.723682,-25.912567
Chiquinho,1,2.6652079,-12.330841
Chiquinho,1,6.5001893,-17.712305
Pedro Chirivella,1,-4.453493,-10.160838
Joris Chotard,1,3.2769058,-11.4517145
Hamza Choudhury,1,4.8662643,-18.715488
Andreas Christensen,1,14.605845,-30.940245
Ryan Christie,1,-8.678326,23.800928
Carney Chukwuemeka,1,-17.46254,-25.583382
Samuel Chukwueze,1,12.308373,-15.161484
Aaron Ciammaglichella,0,22.04243,36.834408
Jasper Cillessen,1,-50.293034,-11.830708
Giuseppe Ciocci,1,9.209063,34.15675
Alessandro Circati,0,21.123865,35.35071
Pathé Ciss,1,22.843824,-37.46336
Alphadjo Cissè,1,18.01219,-17.132528
Djaoui Cissé,1,-5.090004,8.758652
Seydouba Cissé,1,10.56305,-36.49772
Yoann Cissé,1,7.047298,17.933817
Patrick Ciurria,0,41.5401,6.227774
Harry Clarke,0,38.041714,10.4606085
Jack Clarke,1,1.1707649,-10.707754
Alexis Claude-Maurice,1,-42.523724,-9.912722
Jonathan Clauss,1,7.8431764,27.266195
Silvi Clúa,1,5.6161976,1.2354597
Nathaniel Clyne,1,-10.165915,-22.89784
Conor Coady,1,25.795134,6.110306
Marcus Coco,1,-19.849707,-8.651505
Saúl Coco,1,6.3715386,11.474136
Séamus Coleman,1,-33.66322,12.704309
Nathan Collins,1,-31.97997,-2.6797626
Nnamdi Collins,1,24.26655,6.301666
Toby Collyer,1,-12.476266,-19.542948
Lorenzo Colombo,1,22.309341,-39.170258
Andrea Colpani,1,-2.919266,34.303844
Levi Colwill,1,-21.125057,-1.9162403
Florinel Coman,1,4.883268,34.87246
Kingsley Coman,1,-46.0446,20.7792
Eray Cömert,1,-59.641575,-1.5605172
Santi Comesaña,0,38.84087,10.325783
Pietro Comuzzo,0,40.94924,7.7135973
Francisco Conceição,0,38.353893,12.633207
Diego Conde,1,19.082634,-13.390502
Tomás Conechny,1,28.175879,-38.312965
Alois Confais,1,10.961458,-4.357991
Sirlord Conteh,1,-54.397,2.9032297
Lewis Cook,1,18.471975,-27.662624
Copete,0,46.777855,6.4221644
Diego Coppola,1,11.104753,11.450607
Francis Coquelin,1,16.563816,5.852023
Iker Córdoba,1,-8.551967,16.447973
