L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,Cluster,Cluster_KMeans,Cluster_Agglom,Cluster_GMM,GMM_Confidence,Recon_Error,Player
-0.17655726,-0.37312737,-0.24783269,-0.004101619,-0.1126146,-0.35068226,0.30243814,0.12194744,0.058107316,-0.5075098,-0.8257499,0.11233708,4,4,4,4,1.0,0.019385865,Jean-Daniel Akpa-Akpro
-0.6577691,-0.35040584,-0.99016815,1.0165892,0.31302518,-1.3922429,-0.97612935,1.4467632,-0.951056,0.90430826,1.1347996,0.31452012,1,1,1,1,1.0,0.14422676,David Akpan Ankeye
-1.2413279,-0.21394527,0.5367999,-1.2378882,-0.67388356,0.8888279,0.99006945,-1.2454414,0.8825492,0.64642364,0.14242744,-0.8427578,0,0,0,0,1.0,0.05947592,Kevin Akpoguma
-0.22106259,0.23908927,-0.13816637,-0.2807989,-0.963271,0.36340433,0.29379904,0.59144944,-0.3460365,0.73903126,1.0146985,-0.4695568,2,2,2,2,1.0,0.115198314,Chuba Akpom
-0.17276424,0.13710341,0.27986184,-0.26096982,-0.981457,0.5093657,1.0191896,0.2080343,0.12745966,0.30250353,0.27263188,-0.39209807,2,0,2,2,0.99730563,0.15426454,David Alaba
-0.29771727,0.18757299,0.14902511,-0.41527545,-1.4152408,0.7022698,0.8783964,0.5064294,0.012434855,0.9733099,0.9014089,-0.62237483,2,0,2,2,1.0,0.09626553,Ibrahim Alani
-0.19208229,-0.3380165,-0.6181651,0.7065838,0.4463398,-0.7933424,-0.14797129,-0.062970184,0.22228889,-0.39867377,-0.43190768,0.5319968,3,3,3,3,1.0,0.02234961,Andreas Albers
-0.51271516,-0.54428685,-0.057385035,-0.093014285,-0.40762165,-0.1660636,0.4136022,0.14599301,-0.0779846,-0.021839783,-0.45625025,-0.03445933,4,4,4,4,0.99980736,0.08656861,Raúl Albiol
-0.8508258,0.09937115,-0.55170363,-0.65333575,-1.3381137,0.70671755,-0.075573176,0.93736345,-0.46781737,1.0894617,0.8290727,0.1446214,2,2,2,2,1.0,0.24499865,Carlos Alcaraz
-0.21858284,-0.28794795,-0.21521321,-0.057667747,-0.025960516,-0.20387578,-0.047103804,0.30009702,-0.32008338,-0.082868755,-0.5986856,0.15837376,4,4,4,3,0.70989037,0.041881755,Carlos Alcaraz
-1.113983,-0.21800734,0.52529794,-0.76655704,-0.56811816,0.8726783,0.7716209,-0.7091751,0.6715915,1.0075893,0.048481703,0.048943106,0,0,0,0,1.0,0.04393383,Omar Alderete
-0.046428427,-0.32630935,-0.90785104,0.8796278,0.44209307,-0.84401685,-0.34945032,0.15962943,0.105093524,-0.4741394,-0.6408038,0.7128323,3,3,3,3,1.0,0.024598153,Carles Aleñá
-0.3682099,-0.03844691,-0.5136593,0.18472697,0.2622495,-0.01105918,-0.10486305,0.19766542,0.029899016,-0.45916343,-0.5835267,0.6002552,3,4,3,3,0.9219511,0.021321332,Carles Aleñá
-0.69900733,-0.03230857,-0.84629923,0.29377145,-0.3597855,-0.30864477,-0.60416275,1.3067933,-0.27566242,0.8431649,0.111058235,0.8920215,1,2,1,1,0.99993795,0.117990054,Ben Alexander Voll
-0.33062682,-0.3303265,-0.1983586,0.1368332,-0.38344657,-0.35079437,0.43949664,0.23574832,-0.06774658,-0.40524602,-0.3295582,-0.053243607,4,4,4,4,0.999591,0.041547336,Trent Alexander-Arnold
-0.19567485,0.25810316,-0.30914903,-0.36743158,-0.75749475,0.71171325,0.5431376,0.3928596,-0.33467597,0.051151387,0.3703138,-0.04789477,2,0,2,2,0.9999966,0.02668944,Alfon
-0.3709641,-0.5486855,0.16166073,1.2021573,0.18789086,-1.3162519,0.08501847,0.0027686507,0.20452662,0.93177044,1.0171247,-0.034985818,1,3,1,1,1.0,0.09699525,Mohamed Ali Cho
0.06841658,0.1165178,-0.12633622,-0.33255416,-1.1824341,0.17933063,1.0331858,0.39683473,-0.32760316,-0.12090455,0.6411761,-0.7742514,0,0,2,0,0.99982077,0.10085647,Faride Alidou
-0.23289463,-1.1602052,-0.929035,0.58887964,-0.52062607,-1.5002728,0.7570745,0.14053053,0.25132746,-0.91219527,-0.9352759,-0.16817932,4,3,4,4,1.0,0.028099198,Alisson
-0.57518667,-1.3782905,-0.72207665,0.21432626,-0.848793,-1.121347,0.94957656,0.11830685,0.041232243,-0.47054374,-0.77098334,-0.26282582,4,4,4,4,1.0,0.027641233,Tadeo Allende
-0.4973142,-0.5523121,-0.44393623,0.9672768,0.24439414,-1.0680144,-0.16474387,0.4302778,0.29335314,-0.15403938,-0.24270079,0.6441749,3,3,3,3,1.0,0.09443502,Jim Allevinah
-0.2431895,0.07981189,-0.22608387,-0.49102497,-0.5342844,0.58394295,0.538526,0.18448082,-0.31045443,-0.107341476,-0.07075447,0.015916139,0,4,2,0,0.7293884,0.019072186,Dele Alli
-0.78916466,0.291256,-1.2408068,-0.48944968,-1.2903237,1.148906,-0.13773102,1.3101798,-0.84668356,0.21988262,0.8712249,0.71565306,2,2,2,2,1.0,0.133427,Thiago Almada
-0.55139774,-0.29760352,0.050954163,0.06363931,-0.4820343,-0.06303354,0.40988567,0.22642604,-0.11004943,0.11800712,-0.048716232,-0.10203479,4,4,4,4,0.8018115,0.05327938,Domingos André Ribeiro Almeida
-0.55678564,-0.3966697,-0.46491235,0.60702354,0.19672893,-0.57599896,-0.22572756,0.40549207,0.1374176,-0.2644254,-0.438931,0.6107398,3,3,3,3,1.0,0.031214705,Iker Almena
-0.58593076,-0.027720036,-0.09888855,0.11458352,-0.10632795,-0.3276078,-0.29460773,0.68084836,-0.16896991,0.74293077,0.058883294,0.39159107,1,2,3,1,0.72686255,0.08587385,Miguel Almirón
-0.479887,-0.29852387,-0.33023417,0.65717715,0.65547526,-0.57421446,-0.40008,-0.0028138608,0.2946598,-0.022142645,-0.13601966,0.9973659,3,3,3,3,1.0,0.04528066,Pontus Almqvist
-0.13919142,-0.3806859,-0.26155198,-0.8308394,-0.42953143,0.069732025,-0.16499181,0.30910984,-0.9195473,0.46520454,-0.20519432,-0.36878178,4,4,4,2,1.0,0.16559276,Marcos Alonso
-0.06648213,-0.30324993,-0.6338458,0.78312117,0.5086629,-0.7690919,-0.36744216,0.06625296,0.06165582,-0.25021225,-0.5247444,0.7894987,3,3,3,3,1.0,0.097496256,Giorgio Altare
-0.32117128,-0.5894163,-0.51676095,0.1332433,-0.34547985,-0.5437994,0.5079588,0.12829587,0.10945149,-0.71310467,-0.7711779,0.08843699,4,4,4,4,0.9999943,0.023861317,Adrià Altimira
-0.1292617,-0.53013295,-0.8360501,1.0653609,0.11917563,-1.2401494,-0.073859975,0.4081244,0.1319185,-0.5120271,-0.42395517,0.41999924,3,3,3,3,1.0,0.024111204,Sergi Altimira
-0.8369258,-0.3997928,0.21695942,-0.6353772,-0.24284802,0.4197436,0.78174245,-0.5679768,0.36779606,-0.10211909,-0.5616168,-0.03713432,0,0,4,0,0.9892257,0.044566024,Olabade Aluko
-0.5584378,-0.3710463,-0.14513513,0.5312508,0.42846492,-0.5404746,-0.54721636,0.35576937,0.07039687,0.30651146,-0.2645858,1.1030047,3,3,3,3,0.999407,0.05347044,Edson Álvarez
-0.21125324,-0.54976875,-0.20161614,0.72409856,0.53649586,-1.1499307,-0.77586144,0.60272795,-0.27984846,0.878988,-0.38791078,1.1997519,3,3,3,1,1.0,0.21140556,Hugo Álvarez
-0.2554295,-1.0351855,-0.5695421,-0.0864753,-0.43236223,-0.5855191,0.36106184,0.18914911,-0.401725,0.12433073,-0.8248316,0.08777337,4,4,3,4,1.0,0.07635266,Julián Álvarez
-0.73687756,-0.281862,-0.0055013224,0.44024035,0.3298722,-1.2096666,-0.80680543,0.96069175,-0.21353328,1.5059018,0.47946063,0.75903034,1,1,1,1,1.0,0.11327479,Yeray Álvarez
-0.5427001,0.10284605,-0.63575053,0.31677127,-0.21461062,-0.018015608,-0.4007062,0.8853681,-0.15014845,0.25331503,-0.030144513,0.8185857,1,2,3,1,0.99010813,0.085004054,Skelly Alvero
-0.66026616,0.050766394,-0.9383431,-0.026134968,-0.9752327,0.5569821,0.03344615,1.1209947,-0.7215443,0.32246894,0.68572176,0.3802713,2,2,2,2,1.0,0.05732459,Will Alves
-0.19701672,-0.03640861,0.06788404,-0.04282312,-0.9856291,0.028396443,0.89209336,0.33989492,-0.19546193,0.019322932,0.46732625,-0.5775034,0,0,2,0,0.9999787,0.06498463,Selim Amallah
-0.29514036,-0.2629166,-0.24948612,-0.048825324,0.008557636,-0.04390391,-0.118634954,0.33446798,-0.29144388,-0.1458643,-0.6464524,0.34642452,4,4,4,4,0.6147411,0.045511823,Harry Amass
-0.42566854,0.48010108,-0.6715726,-0.9270561,-0.5343386,0.88969994,-0.5844663,0.5546564,-0.7388702,0.44246334,0.4789591,0.3635571,2,2,2,2,1.0,0.13151926,Amath
-0.7163915,-0.40398443,0.079225734,-0.031941503,-0.24429573,0.02537173,0.26762378,0.004257001,-0.05710034,0.27815092,-0.12241237,0.1743204,4,4,4,0,0.96926355,0.079281606,Jordan Amavi
-0.8739916,-1.057956,-0.35399452,0.17738411,-1.1181554,-0.5514493,0.9994742,0.11841939,0.08719216,0.25744897,-0.065698326,-0.3549903,0,0,0,4,1.0,0.055173445,Aurele Amenda
-0.05006519,-0.49783516,-0.599874,0.45995092,0.45828396,-0.6095196,-0.37467855,0.12882826,-0.14549536,-0.15847677,-0.8547778,0.7252587,3,3,3,3,1.0,0.03731087,Kelvin Amian
