L1,L2,L3,L4,L5,L6,L7,L8,Cluster,Player
-0.7517741,-0.2576665,0.27920842,-0.25380176,-0.14580399,-0.12687117,-0.92018914,0.51918054,0,Leon Bailey
-1.0158477,0.81840426,1.072144,0.09271158,0.81586474,-0.77715725,1.2532644,0.1624088,2,Eric Bailly
-0.42841122,-0.4872797,-1.0681373,-0.38503036,0.83815545,-0.8787486,-0.9348592,-0.44984463,1,Theo Bair
-0.203622,-0.21173912,-0.8330196,-0.33689886,0.7759743,-0.48655206,-0.40729266,-0.2777452,1,Stefan Bajcetic
-0.029236078,1.594105,1.0104412,0.027076706,0.8018189,-1.2271619,1.9417605,-0.17166337,2,Cédric Bakambu
-1.1707819,-0.14830282,-0.7508278,-0.3546322,0.91395855,-1.0764093,-1.3825226,-0.4415594,1,Mitchel Bakker
0.35015786,0.1685681,-0.014030404,-0.29616112,0.05214131,-0.025620416,-0.442791,-0.3027071,0,Mitchel Bakker
-0.2789766,0.13821474,-0.17501509,-0.055655137,0.7332742,-0.06613861,0.15538627,-0.21626219,0,Darryl Bakola
-0.26212883,1.2525018,-1.5354015,-0.5866609,1.6780949,-0.4668482,-0.110980384,-1.1088033,1,Ridle Baku
-0.19492729,-0.26504183,-0.4481892,-0.20164435,0.3978221,-0.177715,-0.6522763,0.2871357,0,Ridle Baku
0.045591578,0.080876015,0.037701942,-0.55080295,0.045012295,-0.023198381,0.15881416,-0.17506066,0,Dilane Bakwa
-1.0414953,-0.6350095,0.12064894,-0.3513977,0.04687865,-0.40033227,-0.80723983,0.6525022,0,Tommaso Baldanzi
-0.9277159,0.4137759,-0.81034,-0.7433132,1.12096,0.045017824,-1.1098667,-0.47792864,1,Alejandro Balde
0.17595047,1.3848716,-0.75507456,-0.50872684,1.5058455,-0.20696516,1.0518482,-1.305269,2,Keita Baldé
-0.22685608,-0.45663574,-1.516611,-0.47505057,1.3066657,-0.82631075,-0.54591376,-1.1221526,1,Carlos Baleba
